logr,xi,xi_shuffle_by_mass,xi_mass_alpha03g125,xi_mass_alpha03g25,xi_mass_alpha03g5,xi_mass_alpha03g10,xi_mass_alpha055g125,xi_mass_alpha03g25,xi_mass_alpha03g5,xi_mass_alpha03g10
-1.070072,2889.156347,2889.930513,2889.848690,2890.100452,2889.911631,2890.037511,2889.911631,2890.100452,2889.659869,2889.974571
-0.968940,1928.752110,1929.371932,1929.898780,1929.247967,1929.309950,1929.402923,1929.526887,1929.309950,1929.526887,1929.340941
-0.867510,1295.336973,1296.048073,1296.313590,1295.916840,1296.145734,1296.115215,1296.115215,1296.176254,1296.160994,1295.855801
-0.765844,876.325912,877.072771,877.174957,877.047224,877.174957,877.077279,877.159929,877.107334,876.942033,876.964574
-0.663990,588.338150,589.093247,589.214965,589.059580,589.103976,589.029983,589.033682,589.011485,589.081778,589.011485
-0.561988,395.424234,396.100799,396.234873,396.058172,396.105535,396.076389,396.132860,395.998057,396.094605,396.059994
-0.459868,263.891443,264.310146,264.441282,264.290592,264.318398,264.267271,264.370422,264.216144,264.322883,264.269065
-0.357654,175.014817,174.904978,175.012168,174.984785,174.896012,174.875696,174.989643,174.892037,174.879229,174.880996
-0.255368,113.524531,112.857847,113.081337,113.006528,112.861914,112.876919,112.922804,112.873440,112.860609,112.783409
-0.153023,72.239498,71.017648,71.277728,71.107475,71.034020,70.954354,71.103834,70.957459,71.010249,70.962706
-0.050632,44.605311,43.026547,43.337780,43.128731,43.059241,42.968715,43.118713,42.973671,42.980946,42.975094
0.051796,26.692148,25.040947,25.437190,25.170212,25.069277,24.992538,25.194848,25.032699,25.015046,25.031349
0.154252,15.730418,14.242658,14.670633,14.372567,14.306519,14.243641,14.436225,14.257025,14.225515,14.248844
0.256731,9.223616,8.078663,8.494723,8.233886,8.134805,8.086505,8.306198,8.081022,8.073268,8.081249
0.359227,5.507574,4.728434,5.101222,4.881098,4.770057,4.737154,4.936039,4.758584,4.733410,4.744580
0.461738,3.442402,2.956104,3.279523,3.088578,2.995522,2.962672,3.136618,2.993410,2.964865,2.983595
0.564260,2.280133,1.959396,2.229350,2.088299,1.991949,1.972245,2.119815,2.000802,1.964566,1.962801
0.666791,1.572170,1.356528,1.566286,1.465646,1.394258,1.370406,1.478118,1.404298,1.357989,1.353954
0.769329,1.077556,0.939104,1.089404,1.035321,0.972007,0.945736,1.038919,0.973792,0.946520,0.941920
0.871873,0.728170,0.632791,0.732581,0.704906,0.656917,0.637044,0.703461,0.664397,0.643119,0.638625
0.974420,0.489291,0.425521,0.487344,0.473300,0.448552,0.431370,0.473173,0.448512,0.431963,0.426607
1.076972,0.319686,0.280405,0.320591,0.314842,0.299317,0.285423,0.310784,0.296016,0.285356,0.281363
1.179525,0.204535,0.179736,0.206611,0.200809,0.194059,0.181200,0.198712,0.189492,0.180926,0.179414
1.282081,0.125540,0.110822,0.127607,0.123420,0.120249,0.113022,0.122106,0.116044,0.111826,0.112040
1.384639,0.070498,0.061741,0.070860,0.069805,0.067488,0.063233,0.068961,0.064809,0.062527,0.062098
1.487198,0.033625,0.029111,0.033406,0.032580,0.032154,0.029824,0.032892,0.030667,0.029617,0.029106
1.589758,0.014181,0.012300,0.014090,0.013954,0.013720,0.013338,0.013756,0.012967,0.012276,0.012052
