logr,xi,xi_shuffle_by_mass,xi_mass_alpha03g125,xi_mass_alpha03g25,xi_mass_alpha03g5,xi_mass_alpha03g10,xi_mass_alpha055g125,xi_mass_alpha03g25,xi_mass_alpha03g5,xi_mass_alpha03g10
-1.070072,3724.330234,3724.772898,3724.330234,3724.962611,3724.962611,3724.330234,3724.330234,3724.962611,3724.330234,3725.594988
-0.968940,2366.693898,2367.223235,2367.939397,2366.693898,2366.693898,2367.316648,2366.693898,2367.316648,2367.628022,2367.316648
-0.867510,1545.818156,1546.462089,1547.044694,1547.044694,1546.431425,1547.044694,1546.738060,1546.431425,1546.584743,1546.584743
-0.765844,995.263107,995.738704,995.791548,995.942532,995.791548,996.018023,995.791548,995.942532,995.942532,995.565073
-0.663990,637.563959,638.143830,638.307383,638.084356,638.307383,638.121527,637.972843,638.158699,638.195870,637.972843
-0.561988,415.550243,416.196327,416.392165,416.355560,416.044414,416.081020,416.264046,416.135928,416.172533,416.190836
-0.459868,265.674537,266.316193,266.431547,266.296366,266.269330,266.323402,266.440559,266.332414,266.512655,266.350438
-0.357654,171.131588,171.648103,171.704014,171.801637,171.681827,171.628578,171.597516,171.504331,171.633016,171.530955
-0.255368,109.983459,110.166556,110.333048,110.315568,110.263130,110.105815,110.343973,110.033713,110.335233,110.280610
-0.153023,69.456323,69.149496,69.245460,69.208882,69.146483,69.089464,69.200275,69.156166,69.214261,69.266977
-0.050632,42.291466,41.489723,41.755382,41.597523,41.544550,41.517004,41.556204,41.531307,41.414237,41.518064
0.051796,25.480938,24.558116,24.772258,24.618629,24.528642,24.473606,24.696096,24.431091,24.522382,24.563854
0.154252,15.131124,14.180327,14.417179,14.274621,14.206809,14.144392,14.364008,14.186004,14.114468,14.197948
0.256731,9.049412,8.260889,8.626542,8.346525,8.282972,8.292963,8.467309,8.255147,8.229915,8.287335
0.359227,5.616714,5.018236,5.341428,5.103755,5.048922,5.043006,5.223386,5.044812,5.033291,5.065830
0.461738,3.594521,3.215891,3.483918,3.312294,3.246092,3.222098,3.396833,3.256686,3.222864,3.247671
0.564260,2.417363,2.150490,2.362088,2.255260,2.168882,2.158230,2.310135,2.179459,2.141184,2.145819
0.666791,1.681593,1.482790,1.663688,1.580952,1.510702,1.500391,1.612923,1.530760,1.480464,1.480136
0.769329,1.154551,1.027049,1.154891,1.106733,1.054391,1.041433,1.126456,1.056137,1.043353,1.037992
0.871873,0.776429,0.692891,0.772467,0.750743,0.707749,0.701576,0.754596,0.722004,0.704942,0.699432
0.974420,0.521636,0.464700,0.516661,0.504654,0.484145,0.469684,0.508042,0.490480,0.471648,0.468757
1.076972,0.340918,0.306158,0.336366,0.333109,0.322974,0.309929,0.332705,0.321607,0.311908,0.306669
1.179525,0.218386,0.195947,0.215295,0.210890,0.207233,0.196153,0.213383,0.202342,0.196879,0.194775
1.282081,0.135402,0.120714,0.134122,0.130000,0.128636,0.121673,0.130880,0.124062,0.120787,0.122328
1.384639,0.075862,0.067001,0.075446,0.072586,0.070967,0.067541,0.073267,0.068926,0.068265,0.067889
1.487198,0.036250,0.031896,0.035651,0.034535,0.033297,0.032151,0.035379,0.032582,0.032012,0.032309
1.589758,0.015924,0.013871,0.014901,0.015164,0.013974,0.014547,0.015551,0.013965,0.013556,0.013876
