logr,xi,xi_shuffle_by_mass,xi_mass_a05,xi_mass_con,xi_mass_j,xi_mass_vmax,xi_mass_vpeak,xi_mass_avpeak,xi_mass_afirst,xi_mass_alast,xi_mass_nsub,xi_mass_nsat
-1.070072,3724.330234,3724.772898,3725.594988,3724.330234,3725.594988,3724.962611,3724.330234,3725.594988,3724.962611,3727.492117,3724.330234,3724.330234
-0.968940,2366.693898,2367.223235,2367.005273,2368.250772,2366.693898,2367.005273,2367.939397,2367.628022,2367.316648,2366.693898,2366.693898,2367.628022
-0.867510,1545.818156,1546.462089,1546.278108,1546.431425,1546.278108,1547.198012,1546.278108,1546.278108,1546.891377,1546.584743,1546.891377,1546.431425
-0.765844,995.263107,995.738704,995.942532,995.565073,995.640565,996.244498,995.942532,995.716057,996.018023,995.791548,995.716057,995.489582
-0.663990,637.563959,638.143830,638.158699,638.344555,638.084356,637.935671,638.158699,638.084356,638.344555,638.084356,638.456068,638.158699
-0.561988,415.550243,416.196327,416.264046,416.465376,416.190836,416.264046,416.190836,416.245744,416.007809,416.081020,416.190836,416.245744
-0.459868,265.674537,266.316193,266.350438,266.368462,266.332414,266.449571,266.449571,266.179210,266.422535,266.350438,266.314390,266.242294
-0.357654,171.131588,171.648103,171.961384,171.792762,171.859324,171.810512,171.615266,171.797200,171.730639,171.646328,171.690702,171.557580
-0.255368,109.983459,110.166556,110.555911,110.475068,110.337418,110.475068,110.271870,110.496918,110.206322,110.116740,110.129850,110.223801
-0.153023,69.456323,69.149496,69.580044,69.485371,69.294948,69.596182,69.360574,69.310010,69.043203,69.091616,69.155090,69.203502
-0.050632,42.291466,41.489723,41.945554,41.884105,41.596993,41.910062,41.856030,41.679630,41.472507,41.508528,41.568388,41.530777
0.051796,25.480938,24.558116,24.992400,24.997878,24.644712,24.965796,24.909195,24.630366,24.485865,24.535162,24.652015,24.630888
0.154252,15.131124,14.180327,14.508878,14.580542,14.291830,14.585037,14.507080,14.258824,14.143493,14.211176,14.277703,14.253943
0.256731,9.049412,8.260889,8.562419,8.638494,8.347158,8.595239,8.555779,8.303966,8.255020,8.248823,8.415265,8.369291
0.359227,5.616714,5.018236,5.244154,5.263709,5.097061,5.258758,5.226842,5.051912,5.010063,4.980046,5.142055,5.144577
0.461738,3.594521,3.215891,3.332977,3.372134,3.281830,3.376519,3.346530,3.243654,3.215842,3.201492,3.324590,3.307633
0.564260,2.417363,2.150490,2.240025,2.246465,2.182622,2.264273,2.216774,2.168663,2.155158,2.159385,2.244895,2.211716
0.666791,1.681593,1.482790,1.547896,1.547461,1.511591,1.550070,1.531492,1.509714,1.477765,1.485902,1.562456,1.548546
0.769329,1.154551,1.027049,1.061540,1.064923,1.044879,1.072904,1.057118,1.042548,1.034692,1.043194,1.082971,1.072416
0.871873,0.776429,0.692891,0.716436,0.717186,0.707834,0.724178,0.708656,0.701803,0.694804,0.698190,0.729703,0.726484
0.974420,0.521636,0.464700,0.476770,0.480140,0.470499,0.483170,0.476448,0.469740,0.466058,0.464740,0.490221,0.482672
1.076972,0.340918,0.306158,0.311077,0.316091,0.311838,0.316551,0.313152,0.308738,0.307508,0.309470,0.323214,0.318134
1.179525,0.218386,0.195947,0.198432,0.203460,0.196449,0.200282,0.202293,0.197860,0.195934,0.198460,0.202758,0.202825
1.282081,0.135402,0.120714,0.123601,0.125823,0.121903,0.123858,0.125253,0.122346,0.121167,0.124273,0.125134,0.125657
1.384639,0.075862,0.067001,0.069877,0.068929,0.067011,0.069586,0.069722,0.068400,0.068513,0.069878,0.070470,0.071468
1.487198,0.036250,0.031896,0.033481,0.033458,0.031243,0.033449,0.033492,0.032908,0.032290,0.033120,0.034145,0.033925
1.589758,0.015924,0.013871,0.013877,0.014082,0.013481,0.013829,0.014536,0.014026,0.013589,0.014259,0.014413,0.013833
