logr,xi,xi_shuffle_by_mass,xi_mass_g125,xi_mass_g25,xi_mass_g5,xi_mass_g10,xi_mass_r10m,xi_mass_alpha125,xi_mass_alpha25,xi_mass_alpha5,xi_mass_alpha10,xi_mass_alphacl125,xi_mass_alphacl25,xi_mass_alphacl5,xi_mass_alphacl10
-1.070072,3724.330234,3724.772898,3726.227364,3724.330234,3724.962611,3725.594988,3724.962611,3724.330234,3724.962611,3724.962611,3724.962611,3724.962611,3724.962611,3725.594988,3726.227364
-0.968940,2366.693898,2367.223235,2367.628022,2366.693898,2367.939397,2367.628022,2366.693898,2366.693898,2367.316648,2367.316648,2367.939397,2367.005273,2367.628022,2367.316648,2367.005273
-0.867510,1545.818156,1546.462089,1546.278108,1545.971473,1546.124791,1546.278108,1546.124791,1545.971473,1546.738060,1545.971473,1546.431425,1546.278108,1546.891377,1546.891377,1545.971473
-0.765844,995.263107,995.738704,996.093515,995.867040,996.244498,995.867040,995.565073,995.489582,995.716057,995.489582,995.791548,995.640565,995.867040,995.565073,996.244498
-0.663990,637.563959,638.143830,638.456068,638.716266,638.233041,638.010014,638.270212,638.084356,638.047185,637.861329,638.493239,638.233041,638.270212,638.418897,638.047185
-0.561988,415.550243,416.196327,416.538586,416.410468,416.593494,416.447073,416.300652,416.081020,416.117625,416.190836,416.318954,416.190836,416.447073,416.337257,416.209138
-0.459868,265.674537,266.316193,266.620799,266.792027,266.647835,266.269330,266.413523,266.269330,266.242294,266.143162,266.395498,266.305378,266.332414,266.503643,266.413523
-0.357654,171.131588,171.648103,172.059007,171.952509,171.877073,171.766138,171.633016,171.499893,171.597516,171.770575,171.788325,171.584204,171.637453,171.668515,171.814949
-0.255368,109.983459,110.166556,110.717595,110.678267,110.370192,110.359267,110.409520,110.180103,110.254390,110.182288,110.046822,110.271870,110.267500,110.210692,110.193212
-0.153023,69.456323,69.149496,69.906022,69.629532,69.524101,69.232550,69.581120,69.177682,69.265901,69.275583,69.094843,69.331527,69.328299,69.345512,69.223943
-0.050632,42.291466,41.489723,42.250677,42.308417,41.785576,41.709825,41.936019,41.458204,41.640431,41.585339,41.443902,41.555674,41.647847,41.659501,41.613415
0.051796,25.480938,24.558116,25.361216,25.181503,24.905543,24.748001,24.955623,24.530989,24.681228,24.616803,24.581069,24.690096,24.696356,24.672360,24.612369
0.154252,15.131124,14.180327,14.911507,14.803112,14.563076,14.390208,14.554342,14.149144,14.294913,14.268585,14.242256,14.250861,14.379292,14.398428,14.259723
0.256731,9.049412,8.260889,8.940074,8.870639,8.692309,8.491719,8.518405,8.240792,8.402301,8.365623,8.378144,8.316551,8.418174,8.443342,8.404894
0.359227,5.616714,5.018236,5.619454,5.551139,5.368704,5.240854,5.230983,5.003866,5.145449,5.166373,5.121442,5.068601,5.167089,5.208938,5.142553
0.461738,3.594521,3.215891,3.641052,3.667898,3.524071,3.380459,3.366354,3.197138,3.275789,3.298112,3.262175,3.226252,3.292363,3.344184,3.317461
0.564260,2.417363,2.150490,2.415544,2.514807,2.425524,2.297346,2.250172,2.136934,2.173706,2.206968,2.173714,2.147895,2.186215,2.281757,2.235428
0.666791,1.681593,1.482790,1.651120,1.744498,1.714932,1.604601,1.550371,1.482333,1.481289,1.529117,1.525541,1.492384,1.502227,1.595910,1.565441
0.769329,1.154551,1.027049,1.127768,1.196297,1.207683,1.138644,1.077778,1.020680,1.022627,1.061549,1.056112,1.037264,1.037436,1.093403,1.096365
0.871873,0.776429,0.692891,0.759513,0.795463,0.824417,0.780682,0.729884,0.684107,0.683015,0.708654,0.717258,0.692544,0.692816,0.731484,0.748122
0.974420,0.521636,0.464700,0.506123,0.523143,0.549747,0.531837,0.487500,0.460400,0.456170,0.466872,0.478735,0.467109,0.464551,0.488386,0.504485
1.076972,0.340918,0.306158,0.332934,0.342610,0.353819,0.358615,0.320958,0.304644,0.300938,0.299665,0.318254,0.307513,0.302209,0.319124,0.332538
1.179525,0.218386,0.195947,0.212069,0.214565,0.223190,0.230837,0.202795,0.193152,0.191003,0.192250,0.202464,0.196154,0.193890,0.201417,0.212847
1.282081,0.135402,0.120714,0.130522,0.132609,0.137278,0.144198,0.124096,0.118134,0.116075,0.117464,0.120798,0.122079,0.118929,0.123817,0.131271
1.384639,0.075862,0.067001,0.072352,0.074794,0.076857,0.081442,0.069009,0.067372,0.064487,0.065938,0.064621,0.068574,0.066966,0.068184,0.073246
1.487198,0.036250,0.031896,0.034471,0.035596,0.037656,0.038030,0.032622,0.032083,0.030455,0.030596,0.030584,0.032740,0.032024,0.032171,0.035345
1.589758,0.015924,0.013871,0.014310,0.014796,0.016816,0.015909,0.014150,0.012829,0.013164,0.012092,0.012266,0.013446,0.013843,0.013081,0.015642
