logr,xi,xi_shuffle_by_mass,xi_mass_g125,xi_mass_g25,xi_mass_g5,xi_mass_g10,xi_mass_r10m,xi_mass_alpha125,xi_mass_alpha25,xi_mass_alpha5,xi_mass_alpha10,xi_mass_alphacl125,xi_mass_alphacl25,xi_mass_alphacl5,xi_mass_alphacl10
-1.070072,2296.537361,2297.449594,2297.820682,2297.985049,2297.624707,2297.447697,2297.978727,2297.656316,2297.416088,2297.542524,2297.295974,2297.523559,2297.586776,2297.416088,2297.536202
-0.968940,1617.382332,1618.262312,1618.820432,1618.664793,1618.316163,1618.400208,1618.568298,1618.393982,1618.412659,1618.319276,1618.257020,1618.412659,1618.450012,1618.306825,1618.337952
-0.867510,1145.580598,1146.496534,1146.941628,1146.875722,1146.659613,1146.656547,1146.874190,1146.541595,1146.596772,1146.589109,1146.515540,1146.633557,1146.685669,1146.624361,1146.550792
-0.765844,805.017220,805.858914,806.349229,806.289610,806.114524,806.054904,806.329608,805.956041,805.941702,805.919817,805.855669,806.033019,806.129618,805.986229,805.971890
-0.663990,559.602758,560.173045,560.825307,560.701565,560.471176,560.360069,560.839056,560.300242,560.325139,560.335916,560.202513,560.414694,560.457427,560.338517,560.260110
-0.561988,385.733850,385.902383,386.712735,386.531778,386.240857,386.093933,386.770187,386.034834,386.089725,386.014342,385.978663,386.215242,386.235551,386.134003,386.014159
-0.459868,261.781120,261.266920,262.171398,261.949862,261.690668,261.462915,262.373294,261.445167,261.511295,261.366517,261.335435,261.665982,261.604810,261.511295,261.418951
-0.357654,174.711679,173.513843,174.544086,174.266037,173.958798,173.741655,174.799246,173.777587,173.808816,173.659234,173.553080,173.968158,173.965142,173.786148,173.656173
-0.255368,113.878995,112.132264,113.325573,112.998614,112.606280,112.377371,113.464229,112.455305,112.524764,112.321171,112.155059,112.642582,112.664446,112.445673,112.309070
-0.153023,72.448307,70.266058,71.619089,71.226888,70.814521,70.530816,71.575510,70.648809,70.731826,70.467276,70.323783,70.841581,70.875394,70.625514,70.471341
-0.050632,44.685555,42.369988,43.797317,43.433132,42.967960,42.677739,43.597010,42.744744,42.885565,42.600121,42.437128,42.943108,43.043025,42.772049,42.563274
0.051796,26.675275,24.521930,25.878142,25.573896,25.150342,24.819977,25.580955,24.829310,25.032376,24.774920,24.603477,25.005245,25.171883,24.955588,24.720866
0.154252,15.533885,13.797037,14.973049,14.752220,14.403238,14.087431,14.627804,13.990014,14.249860,14.036349,13.895916,14.143935,14.377096,14.203580,13.993709
0.256731,8.968608,7.745313,8.708030,8.542986,8.267345,8.006648,8.329712,7.836441,8.110986,7.970200,7.841566,7.959650,8.206121,8.090776,7.923466
0.359227,5.261259,4.486963,5.221454,5.146175,4.913485,4.717611,4.868998,4.507041,4.745431,4.685606,4.561981,4.592342,4.816402,4.770512,4.646296
0.461738,3.236570,2.771656,3.304991,3.306239,3.131655,2.965688,3.014421,2.751918,2.924144,2.914722,2.828827,2.828966,2.981544,2.990735,2.892311
0.564260,2.120072,1.819659,2.176636,2.237328,2.121469,1.977222,1.977489,1.787879,1.894308,1.923982,1.865497,1.860612,1.941099,1.989349,1.923539
0.666791,1.458407,1.257549,1.478318,1.558160,1.502690,1.391912,1.356310,1.232864,1.281563,1.327674,1.293686,1.284591,1.321335,1.389551,1.345827
0.769329,1.004001,0.872152,1.008316,1.070584,1.064668,0.991576,0.936734,0.847283,0.873163,0.922579,0.896439,0.890399,0.910445,0.960833,0.943699
0.871873,0.679569,0.588818,0.677064,0.713654,0.730668,0.685968,0.632815,0.569962,0.583295,0.614657,0.612017,0.599952,0.608756,0.644492,0.647140
0.974420,0.454832,0.396099,0.451928,0.472861,0.492006,0.470491,0.426310,0.382725,0.387260,0.402725,0.412831,0.402745,0.406919,0.431455,0.440020
1.076972,0.299419,0.261438,0.297968,0.309824,0.320314,0.318479,0.280635,0.251969,0.255039,0.260147,0.274676,0.265711,0.269369,0.282574,0.294225
1.179525,0.191256,0.167607,0.189828,0.196319,0.202433,0.207739,0.178823,0.160496,0.161647,0.164307,0.174324,0.170206,0.171898,0.180184,0.190995
1.282081,0.117287,0.103418,0.116173,0.121390,0.123664,0.129950,0.110192,0.098829,0.098757,0.100035,0.105896,0.105071,0.106593,0.110589,0.117765
1.384639,0.066060,0.057496,0.064709,0.067651,0.069700,0.072656,0.061530,0.055578,0.054925,0.055823,0.057451,0.059327,0.059279,0.061530,0.066026
1.487198,0.031825,0.027381,0.031315,0.032337,0.034036,0.035001,0.029106,0.026874,0.025981,0.025927,0.026719,0.028209,0.027809,0.029874,0.031496
1.589758,0.013101,0.011494,0.012904,0.013465,0.014544,0.014815,0.012171,0.011003,0.010793,0.010638,0.010535,0.011780,0.011929,0.012461,0.013545
