logr,xi,xi_shuffle_by_mass,xi_mass_a05,xi_mass_con,xi_mass_j,xi_mass_vmax,xi_mass_vpeak,xi_mass_avpeak,xi_mass_afirst,xi_mass_alast,xi_mass_nsub,xi_mass_nsat
-1.070072,2889.156347,2889.930513,2889.596929,2889.785750,2890.163392,2890.037511,2889.659869,2889.848690,2889.785750,2890.352213,2889.974571,2889.471048
-0.968940,1928.752110,1929.371932,1929.588869,1929.774816,1929.402923,1929.340941,1929.619860,1929.495896,1929.619860,1929.216976,1929.526887,1929.278959
-0.867510,1295.336973,1296.048073,1295.962619,1296.252552,1295.672685,1296.252552,1296.008398,1296.008398,1296.328850,1296.176254,1296.267811,1296.206773
-0.765844,876.325912,877.072771,877.137388,876.979601,876.987115,877.310203,877.257607,877.189984,877.220039,877.137388,877.062252,876.957060
-0.663990,588.338150,589.093247,589.266760,589.177968,589.115075,589.181668,589.133573,589.174269,589.048481,589.103976,589.074379,589.122474
-0.561988,395.424234,396.100799,396.229408,396.187510,396.065459,396.347816,396.209370,396.127395,396.054529,396.039955,396.063637,396.114643
-0.459868,263.891443,264.310146,264.687947,264.554299,264.355173,264.556093,264.631438,264.356967,264.328264,264.354276,264.341719,264.285210
-0.357654,175.014817,174.904978,175.410098,175.167630,174.898221,175.218862,175.180880,175.027625,174.948128,174.963585,174.926045,174.871280
-0.255368,113.524531,112.857847,113.337511,113.228996,112.999135,113.262485,113.307283,113.006311,112.832121,112.891489,112.904972,112.858434
-0.153023,72.239498,71.017648,71.583970,71.421854,71.185320,71.492311,71.446054,71.149556,71.021706,71.032306,71.075137,71.018386
-0.050632,44.605311,43.026547,43.649905,43.467217,43.151877,43.509923,43.527902,43.152984,43.089821,43.055498,43.089083,43.040682
0.051796,26.692148,25.040947,25.595212,25.483374,25.162112,25.445367,25.504402,25.167875,25.092590,25.086385,25.136333,25.095965
0.154252,15.730418,14.242658,14.700250,14.639405,14.368310,14.632975,14.647944,14.336367,14.304167,14.289493,14.359682,14.319391
0.256731,9.223616,8.078663,8.431468,8.363455,8.171430,8.371756,8.387743,8.145045,8.115476,8.117629,8.195341,8.152611
0.359227,5.507574,4.728434,4.968834,4.920429,4.797144,4.927740,4.924613,4.773875,4.761848,4.739767,4.845359,4.820715
0.461738,3.442402,2.956104,3.097145,3.070489,3.007717,3.075450,3.071013,2.985887,2.964732,2.958915,3.063047,3.041638
0.564260,2.280133,1.959396,2.054330,2.041649,1.997555,2.051625,2.027837,1.981592,1.975159,1.981295,2.052193,2.031187
0.666791,1.572170,1.356528,1.412270,1.414890,1.379724,1.410468,1.401534,1.377544,1.365564,1.368143,1.427887,1.409638
0.769329,1.077556,0.939104,0.974816,0.978021,0.955564,0.976290,0.968370,0.953476,0.943462,0.955381,0.989546,0.977301
0.871873,0.728170,0.632791,0.657827,0.653998,0.645341,0.659773,0.653814,0.642681,0.637615,0.640499,0.667482,0.661072
0.974420,0.489291,0.425521,0.439271,0.438667,0.431211,0.441714,0.435765,0.430488,0.426076,0.429625,0.448633,0.443854
1.076972,0.319686,0.280405,0.289843,0.288833,0.285013,0.289160,0.288058,0.282894,0.280792,0.284263,0.295955,0.292308
1.179525,0.204535,0.179736,0.184613,0.186655,0.181270,0.183846,0.184973,0.181438,0.178963,0.182391,0.188153,0.187920
1.282081,0.125540,0.110822,0.114003,0.114484,0.112217,0.113206,0.114724,0.112697,0.109810,0.113657,0.116069,0.116654
1.384639,0.070498,0.061741,0.063882,0.063687,0.062522,0.063429,0.064321,0.064151,0.062558,0.063100,0.064875,0.065753
1.487198,0.033625,0.029111,0.030814,0.030350,0.029426,0.030007,0.030947,0.029804,0.029139,0.029250,0.030889,0.031273
1.589758,0.014181,0.012300,0.012748,0.012835,0.012547,0.012254,0.012982,0.012204,0.012288,0.012441,0.013155,0.012746
