envrank,Mcut,M1,Slope
5,594305057936.516724,5629152443038.168945,1.048344
15,492134641707.127380,5447124684234.801758,1.073327
25,483815681909.331848,5214368809586.729492,1.070144
35,481743866497.683533,4982059501335.230469,1.061218
45,481893521259.334106,4841928349555.411133,1.064394
55,470119938070.156738,4716027551251.733398,1.070113
65,463695011182.356079,4686724394783.783203,1.074949
75,388423964391.224548,4746431374129.720703,1.110585
85,384479702990.958740,4621348571025.416992,1.113834
95,362046314557.183777,4497402065755.420898,1.129241
