-10.000000,-10.000000
-5.110421,-10.000000
-5.316878,-10.000000
-4.815032,-10.000000
-4.625895,-10.000000
-4.636926,-10.000000
-4.182404,-10.000000
-3.866907,-10.000000
-3.590451,-10.000000
-3.247126,-5.752276
-2.823805,-5.663283
-2.473509,-4.881410
-2.151719,-4.446185
-1.744080,-3.945854
-0.859865,-3.274585
-0.378772,-2.521793
-0.198324,-2.094001
-0.128882,-1.755928
-0.091744,-1.448146
-0.063329,-1.162566
-0.040246,-0.952166
-0.023883,-0.746216
-0.013947,-0.592518
-0.007160,-0.433772
-0.004276,-0.287266
-0.002013,-0.159851
-0.001367,-0.027151
-0.000530,0.107121
-0.000217,0.223104
-0.000227,0.344143
-0.000056,0.459422
0.000000,0.573479
-0.000091,0.678695
-0.000109,0.795474
0.000000,0.897848
0.000000,1.005067
0.000000,1.113368
0.000000,1.206485
0.000000,1.319751
0.000000,1.421446
0.000000,1.515114
0.000000,1.614537
0.000000,1.712092
0.000000,1.820602
0.000000,1.905436
0.000000,2.008161
0.000000,2.133962
0.000000,2.393328
